fire_id,fire_name,closest_weather_id,distance
AEU,Amador - El Dorado CAL FIRE,US1CAAM0003,0.04482005450085355
ANF,Angeles National Forest,USR0000CCHI,0.06961250449882918
BRR,Bitter Creek National Wildlife Refuge,USC00046754,0.02363488024022878
BTU,Butte CAL FIRE,USC00046685,0.0009155875108355102
MCP,Camp Pendleton Marine Corps Base,USW00000369,0.02735242039180355
CNP,Channel Islands - NPS,US1CAVT0017,0.026873664617979867
CLR,Clear Lake National Wildlife Refuge,USC00041805,0.08528152958320281
CNF,Cleveland National Forest,USC00040134,0.04242277174879287
DVP,Death Valley NP,USW00053139,0.14331157843890407
DLR,Delevan National Wildlife Refuge,US1CACL0001,0.08981080558107325
FWR,Don Edwards San Francisco Bay National Wildlife Refuge,USC00046144,0.032205216955803084
ENF,Eldorado National Forest,USC00044616,0.0429077198421441
ESR,Ellicott Slough National Wildlife Refuge,US1CASZ0043,0.02126592263040821
FKU,Fresno-Kings CAL FIRE,US1CAFR0033,0.13164392933554045
HIA,Hoopa Valley Tribe,USR0000CBIH,0.039430090810602815
HPR,Hopper Mountain National Wildlife Refuge,USR0000CPIR,0.062223661837035475
HTF,Humboldt-Toiyabe National Forest,USC00041075,0.114768433697774
HUU,Humboldt - Del Norte CAL FIRE,US1CAHM0029,0.008565640333912132
INF,Inyo National Forest,USR0000CCRE,0.17521865384345486
JTP,Joshua Tree NP,USC00049102,0.24533923460947957
KRN,Kern County,USC00040332,0.1306544713280407
KRR,Kern National Wildlife Refuge,USC00045151,0.15603103519448344
KNF,Klamath National Forest,USC00041799,0.2026969152273978
TMU,Lake Tahoe Basin Management Unit,USS0019L03S,0.03045411508236627
LMU,Lassen - Modoc CAL FIRE,USC00048702,0.014453008856289126
LNF,Lassen National Forest,USC00049600,0.1259629737134418
LNP,Lassen Volcanic NP,USC00045311,0.17939085411366779
BNP,Lava Beds National Monument,USR0000CIND,0.030599419919054054
LFD,Linda Fire Department,USW00093205,0.02020153503802351
LDF,Los Angeles City FD,USC00047775,0.05298314313563561
LAC,Los Angeles County,USC00040798,0.02962006301209375
LPF,Los Padres National Forest,USC00040543,0.07962564030198925
LKR,Lower Klamath National Wildlife Refuge,USR0000CLKL,0.03935953963606399
MMU,Madera - Mariposa CAL FIRE,USC00045352,0.03868382669750224
MRN,Marin County,US1CAMR0002,0.039091180562884305
MEU,Mendocino CAL FIRE,US1CAMD0033,0.04173995222385861
MNF,Mendocino National Forest,USR0000CALD,0.09696580501975424
MCR,Merced National Wildlife Refuge,USR0000CSNL,0.11340406756416856
MDF,Modoc National Forest,USR0000CTIM,0.19183659987880794
MDR,Modoc National Wildlife Refuge,USC00040161,0.06525052550783986
BEU,Monterey - San Benito CAL FIRE,USC00048338,0.05423307426847981
NEU,Nevada - Yuba - Placer CAL FIRE,USC00046136,0.024522401230104008
PLR,Pixley National Wildlife Refuge,USC00040204,0.12644431138015255
PNF,Plumas National Forest,USC00047085,0.11347723003859346
RNP,Point Reyes National Seashore,US1CAMR0011,0.18348189884629737
RWP,Redwood National and State Parks,US1CADN0012,0.08048846615633413
RRU,Riverside CAL FIRE,US1CASD0026,0.061572368761478875
RRS,Rogue River - Siskiyou NF,US1CASK0016,0.14339845798424486
SWR,Sacramento National Wildlife Refuge,USR0000CSAC,0.01939994825250833
SRR,Sacramento River National Wildlife Refuge,USR0000CSAC,0.01939994825250833
BDU,San Bernardino CAL FIRE,USC00045212,0.03386049605365951
BDF,San Bernardino National Forest,USC00048105,0.017732983061511724
DBR,San Diego Bay National Wildlife Refuge,USW00093115,0.03503420901336525
TNR,San Diego National Wildlife Refuge,USR0000CSMI,0.04477039025963356
SJR,San Joaquin River National Wildlife Refuge,USW00023248,0.11708013401854062
LUR,San Luis National Wildlife Refuge,USW00093243,0.0271157768294158
SLU,San Luis Obispo CAL FIRE,US1CASL0040,0.018816239582409
CZU,San Mateo - Santa Cruz CAL FIRE,USC00046642,0.02597233705310126
SPR,San Pablo Bay National Wildlife Refuge,USC00042580,0.09240233435390531
SBC,Santa Barbara County,USR0000CFIG,0.028531093037072176
SCU,Santa Clara CAL FIRE,US1CASC0006,0.018946188506399887
SMP,Santa Monica Mtns National Recreation Area,USC00047950,0.006569294102113738
SQF,Sequoia National Forest,USC00044518,0.07866120377620114
SHF,Shasta-Trinity National Forest,USC00049083,0.0811472972848281
SHU,Shasta - Trinity CAL FIRE,USC00048135,0.04042525420823399
SNF,Sierra National Forest,USC00044176,0.08923646108626845
SKU,Siskiyou CAL FIRE,USR0000CWEE,0.09304921807355648
SRF,Six Rivers National Forest,US1CAHM0144,0.09639864450832364
SOR,Sonny Bono Salton Sea National Wildlife Refuge,USW00093118,0.16857018615698094
LNU,Sonoma - Lake - Napa CAL FIRE,US1CALK0018,0.049680407929821854
STF,Stanislaus National Forest,USC00041906,0.052346233553614195
SKR,Stone Lakes National Wildlife Refuge,USC00041784,0.060407490559528654
STR,Sutter National Wildlife Refuge,US1CASU0005,0.0768133094515528
TNF,Tahoe National Forest,USC00041018,0.07978043104585529
TGU,Tehama - Glenn CAL FIRE,USC00042027,0.030568798575834166
TUU,Tulare CAL FIRE,USR0000CMIO,0.08236580454637447
TKR,Tule Lake National Wildlife Refuge,USC00049053,0.074520690599591
TIA,Tule River Agency,USC00042269,0.07440507060678381
TCU,Tuolumne - Calaveras CAL FIRE,USC00046172,0.08326731396054098
VLJ,Vallejo Fire Dept.,USC00045333,0.045434530183545555
AFV,Vandenberg Air Force Base,USW00093214,0.02687959115876581
VNC,Ventura County,US1CAVT0031,0.06719145871202434
YNP,Yosemite National Park,USC00049855,0.11525904403720921
